row_from_station,id,name,rating,review_count,latitude,longitude
454,7I0dcSeA5ooDeOzLpFQaxw,Place Jean-Paul Riopelle,4.0,1,45.5032,-73.56184
454,95mPSpkFItM0q3JBp9LF8g,Square Phillips,4.0,3,45.5041909,-73.5688404
454,lmQg96Lly7OGsbrrum03rA,Esplanade Tranquille,4.5,3,45.50959694958091,-73.56495368834328
454,l_sRGvWhKA4Ic7g6DhasZw,Parc Linéaire de la Commune,5.0,1,45.504394,-73.552635
454,4l-WPXmsW0ZIiJ2BDERQrw,Place Sun Yat-Sen,3.0,3,45.507848333883565,-73.56043250092497
454,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
454,LdQN_8NbaY6HnpF5s5S_CQ,Place de la Paix,3.5,3,45.5094184184441,-73.5621623474797
454,J_LRxEQGytnIK4lzdZXjlA,Parc de Dieppe,4.5,2,45.4995,-73.54443
454,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
454,iADEKQUoAJoK9llrj1cEtg,Habitat 67,4.5,14,45.4989891,-73.5441818
